Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1960","YR1960","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1961","YR1961","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1962","YR1962","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1963","YR1963","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1964","YR1964","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1965","YR1965","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1966","YR1966","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1967","YR1967","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1968","YR1968","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1969","YR1969","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1970","YR1970","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1971","YR1971","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1972","YR1972","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1973","YR1973","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1974","YR1974","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1975","YR1975","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1976","YR1976","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1977","YR1977","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1978","YR1978","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1979","YR1979","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1980","YR1980","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1981","YR1981","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1982","YR1982","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1983","YR1983","NA"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1984","YR1984","639.484730161417"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1985","YR1985","639.865903755552"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1986","YR1986","693.873474633887"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1987","YR1987","674.793383069492"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1988","YR1988","652.774321396566"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1989","YR1989","697.995596576519"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1990","YR1990","617.230435515505"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1991","YR1991","336.586994504629"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1992","YR1992","200.852219772323"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1993","YR1993","367.279225077581"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1994","YR1994","586.416135130865"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1995","YR1995","750.604449178826"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1996","YR1996","1009.97711053398"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1997","YR1997","717.380047745673"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1998","YR1998","813.789396580449"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","1999","YR1999","1033.24253162418"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","2000","YR2000","1126.68334010717"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","2001","YR2001","1281.6598256178"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","2002","YR2002","1425.12421860142"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","2003","YR2003","1846.12012081207"
