Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1987,All,Age_all,[All],47.00000000,0.27126861,2.25486438,1.52790872,
EU,Europe,ALB,Albania,1997,All,Age_all,[All],19.00000000,0.11741441,0.80578268,0.57154890,
EU,Europe,ALB,Albania,1996,Female,Age_all,[All],10.00000000,0.14432097,0.71556869,0.60277275,
EU,Europe,ALB,Albania,1996,All,Age_all,[All],34.00000000,0.20302144,1.15858654,1.03563814,
EU,Europe,ALB,Albania,1995,Male,Age_all,[All],10.00000000,0.10738832,0.73759242,0.62196791,
EU,Europe,ALB,Albania,1994,Female,Age_all,[All],13.00000000,0.21097046,0.95500187,0.80455502,
EU,Europe,ALB,Albania,1994,Male,Age_all,[All],26.00000000,0.29471775,2.35344869,1.63913756,
EU,Europe,ALB,Albania,1994,All,Age_all,[All],39.00000000,0.26027763,1.54727635,1.21798876,
EU,Europe,ALB,Albania,1993,Female,Age_all,[All],12.00000000,0.17118402,0.82594172,0.74934432,
EU,Europe,ALB,Albania,1993,Male,Age_all,[All],22.00000000,0.22847648,1.74537166,1.40476343,
EU,Europe,ALB,Albania,1992,Male,Age_all,[All],15.00000000,0.15089025,1.38568570,0.94381174,
EU,Europe,ALB,Albania,1992,All,Age_all,[All],22.00000000,0.12762501,0.91036313,0.68963355,
EU,Europe,ALB,Albania,1989,Female,Age_all,[All],19.00000000,0.23854363,1.55380271,1.23033089,
EU,Europe,ALB,Albania,1989,All,Age_all,[All],41.00000000,0.22565909,1.78923968,1.28833585,
EU,Europe,ALB,Albania,1988,Female,Age_all,[All],12.00000000,0.15772871,1.05647394,0.78843627,
EU,Europe,ALB,Albania,1988,Male,Age_all,[All],27.00000000,0.27935851,2.81775509,1.67068870,
EU,Europe,ALB,Albania,1988,All,Age_all,[All],39.00000000,0.22578591,1.84414802,1.24279022,
EU,Europe,ALB,Albania,1987,Female,Age_all,[All],14.00000000,0.18205462,1.23779658,0.93840070,
EU,Europe,ALB,Albania,1995,Female,Age_all,[All],7.00000000,0.10374981,0.50161510,0.42654317,
EU,Europe,ALB,Albania,1995,All,Age_all,[All],17.00000000,0.10585964,0.64332032,0.52325402,
EU,Europe,ALB,Albania,1993,All,Age_all,[All],34.00000000,0.20433920,1.27922703,1.07340174,
EU,Europe,ALB,Albania,1989,Male,Age_all,[All],22.00000000,0.21560172,2.11588352,1.34301935,
EU,Europe,ALB,Albania,1996,Male,Age_all,[All],24.00000000,0.24444897,1.68068010,1.47783251,
EU,Europe,ALB,Albania,1992,Female,Age_all,[All],7.00000000,0.09592983,0.51448618,0.43728136,
EU,Europe,ALB,Albania,1997,Male,Age_all,[All],11.00000000,0.11132476,0.75018417,0.67530235,
EU,Europe,ALB,Albania,1997,Female,Age_all,[All],8.00000000,0.12696397,0.67442694,0.47186505,
EU,Europe,ALB,Albania,1998,All,Age_all,[All],21.00000000,0.12745812,0.69780453,0.62604341,
